model,method,choice,responses,percentage
openai/gpt-oss-120b,explicit_indifference,A,28,31.11
openai/gpt-oss-120b,explicit_indifference,B,41,45.56
openai/gpt-oss-120b,explicit_indifference,INDIFFERENT,21,23.33
openai/gpt-oss-120b,forced_choice,A,43,47.78
openai/gpt-oss-120b,forced_choice,B,47,52.22
openai/gpt-oss-120b,preference_strength,A,42,46.67
openai/gpt-oss-120b,preference_strength,B,48,53.33
qwen/qwen3.8-27b,explicit_indifference,A,37,41.11
qwen/qwen3.8-27b,explicit_indifference,B,47,52.22
qwen/qwen3.8-27b,explicit_indifference,INDIFFERENT,6,6.67
qwen/qwen3.8-27b,forced_choice,A,43,47.78
qwen/qwen3.8-27b,forced_choice,B,47,52.22
qwen/qwen3.8-27b,preference_strength,A,36,40.0
qwen/qwen3.8-27b,preference_strength,B,54,60.0
