pair_id,n_responses,modal_choice,modal_share,difficulty
P01,36,A,0.9166666666666666,easy
P02,36,A,0.6388888888888888,ambiguous
P03,36,B,1.0,easy
P04,36,A,0.4444444444444444,ambiguous
P05,36,A,1.0,easy
P06,36,B,0.8888888888888888,easy
P07,36,B,0.8611111111111112,easy
P08,36,B,0.9444444444444444,easy
P09,36,A,0.5555555555555556,ambiguous
P10,36,B,0.9166666666666666,easy
P11,36,A,0.9722222222222222,easy
P12,36,A,0.5555555555555556,ambiguous
P13,36,B,0.6388888888888888,ambiguous
P14,36,A,0.5555555555555556,ambiguous
P15,36,B,0.9166666666666666,easy
