model,method,choice,responses,percentage
openai/gpt-oss-120b,explicit_indifference,A,88,32.59
openai/gpt-oss-120b,explicit_indifference,B,93,34.44
openai/gpt-oss-120b,explicit_indifference,INDIFFERENT,89,32.96
openai/gpt-oss-120b,forced_choice,A,138,51.11
openai/gpt-oss-120b,forced_choice,B,132,48.89
openai/gpt-oss-120b,preference_strength,A,149,55.19
openai/gpt-oss-120b,preference_strength,B,121,44.81
qwen/qwen3.8-27b,explicit_indifference,A,127,47.04
qwen/qwen3.8-27b,explicit_indifference,B,128,47.41
qwen/qwen3.8-27b,explicit_indifference,INDIFFERENT,15,5.56
qwen/qwen3.8-27b,forced_choice,A,141,52.22
qwen/qwen3.8-27b,forced_choice,B,129,47.78
qwen/qwen3.8-27b,preference_strength,A,137,50.74
qwen/qwen3.8-27b,preference_strength,B,133,49.26
